药品名称,药品编码
诺和锐,0
诺和锐30,1
诺和灵R,2
诺和灵30R,3
诺和灵50R,4
诺和灵N,5
诺和平,6
诺和力,7
诺和龙,8
秦苏,9
糖适平,10
亚莫利,11
唐力,12
唐林,13
达美康,14
瑞易宁,15
阿卡波糖,16
阿法迪三,17
格华止,18
捷诺维,19
优泌乐50,20
来得时,21
百泌达,22
利加隆,23
立普妥,24
拜糖平,25
拜唐苹,26
拜阿司匹林,27
倍博特 ,28
倍他乐克,29
弥可保,30
代文,31
络活喜,32
亚莫利,33
怡开,34
门冬胰岛素,35
甘精胰岛素,36
二甲双胍,37
雅施达,38
维固力,39
钙尔奇D,40
密钙息,41
加斯清,42
保列治,43
安立泽,44
捷诺达,45
可定,46
力平之,47
缬沙坦,48
波依定,49
胰岛素,50
氯沙坦,51
阿司匹林,52
阿托伐他汀,53
黄葵,54
小苏打,55
苯溴马隆,56
安博维,57
利可君,58
海昆肾喜,59
非布司他,60
碳酸氢钠,61
水飞蓟素,62
皿治林,63
碳酸钙D3,64
维生素B,65
阿莫西林,66
奥克,67
诺邦,68
易善复,69
百赛诺,70
来士普,71
阿普唑仑,72
施慧达,73
雷贝拉唑,74
克拉霉素,75
沐舒坦,76
阿发骨化醇,77
安内真,78
杜密克,79
优甲乐,80
甲钴胺,81
安比丁,82
拜糖苹,83
血脂康,84
拜阿司匹灵,85
博依姆多,86
科素亚,87
卜可,88
雷替斯,89
钙尔奇,90
佳维乐,91
导升明,92
盖三淳,93
硝苯地平,94
厄贝沙坦,95
利拉鲁肽,96
达格列净,97
倍博特,98
阿法骨化醇,99
耐信,100
阿莫仙,101
瑞舒伐他汀,102
善存,103
法能,104
美卡素,105
培菲康,106
奥美拉唑,107
金水宝,108
爱乐维,109
富露施,110
予益宝世灵,111
特治星,112
安信,113
醋酸氢化可的松,114
弥凝,115
加斯清,116
为力苏,117
波利特,118
氯化钾,119
拜复乐,120
安达唐,121
益适纯,122
非诺贝特,123
依折麦布,124
双环醇,125
百塞诺,126
艾斯西肽普兰,127
乳果糖,128
羟苯磺酸钙,129
博苏,130
长秀霖,131
安博诺,132
欧唐宁,133
苯磺酸氨氯地平,134
拜新同,135
琥珀酸美托洛尔,136
速力菲,137
维生素C,138
贝莱,139
酚卞明,140
施惠达,141
卡博平,142
优泌乐,143
盖三醇,144
骨化三淳,145
力蜚能,146
舒可捷,147
格列奇特,148
尼莫地平,149
福善美,150
骨化三醇,151
优泌林,152
欧唐静,153
洁维乐,154
压氏达,155
呋塞米,156
补达秀,157
利加隆,158
磷酸西格列汀,159
维格列汀,160
美能,161
依巴斯汀,162
曲尼司特,163
赛心得安,164
优思弗,165
伲福达,166
吲达帕胺,167
赖诺普利,168
氨氯地平,169
美托洛尔,170
辛伐他汀,171
利西拉来,172
宜合瑞,173
生理盐水,174
兰索拉唑,175
心得安,176
赛治,177
格列吡嗪,178
敏使朗,179
西比灵,180
万爽力,181
地高辛,182
溴隐亭,183
友来特,184
捷洛维,185
乐喜林,186
思考林,187
泰嘉,188
银杏酮酯,189
益肾丸,190
贺普丁,191
贺维力,192
钙尔奇,193
罗盖全,194
异烟肼,195
利福平,196
乙胺丁醇,197
吡嗪酰胺,198
复发南星止痛膏,199